date,acquried_company,acquring_company,business,country,price
"February 12, 2001",Dejavue,Google Groups,Usenet,United States,—
"September 20, 2001",Outride,Google Personalized Search,Web search engine,United States,—
February 2003,Pyra Labs,Blogger,Weblog software,United States,—
April 2003,Neotonic Software,"Google Groups, Gmail",Customer relationship management,United States,—
April 2003,Applied Semantics,"AdSense, AdWords",Online advertising,United States,"$102,000,000"
"September 30, 2003",Kaltix,iGoogle,Web search engine,United States,—
October 2003,Sprinks,"AdSense, AdWords",Online advertising,United States,—
October 2003,Genius Labs,Blogger,Blogging,United States,—
"May 10, 2004",Ignite Logic,Google Sites,HTML editor,United States,—
"July 13, 2004",Picasa,"Picasa, Blogger",Image organizer,United States,—
September 2004,ZipDash,Google Maps,Traffic analysis,United States,—
October 2004,Where2,Google Maps,Map analysis,Australia,—
"October 27, 2004",Keyhole,"Google Maps, Google Earth",Map analysis,United States,—
"March 28, 2005",Urchin Software Corporation,Google Analytics,Web analytics,United States,—
"May 12, 2005",Dodgeball,Google Latitude,Social networking service,United States,—
"July 19, 2005",Akwan Information Technologies,Internet backbone,Search engines,Brazil,—
July 2005,Reqwireless,Google Mobile,Mobile browser,Canada,—
"August 17, 2005",Android,Android,Mobile operating system,United States,"$50,000,000"
November 2005,Skia,Skia,Graphics library,United States,—
"December 27, 2005",Phatbits,Google Desktop,Widget engine,United States,—
"December 31, 2005",allPAY,Google Mobile,Mobile software,Germany,—
"December 31, 2005",bruNET,Google Mobile,Mobile software,Germany,—
"January 17, 2006",dMarc Broadcasting,AdSense,Advertising,United States,"$102,000,000"
"February 14, 2006",Measure Map,Google Analytics,Weblog software,United States,—
"March 9, 2006",Upstartle,Google Docs,Word processor,United States,—
"March 14, 2006",@Last Software,Google Sketchup,3D modeling software,United States,—
"April 9, 2006",Orion,Google Search,Web search engine,Australia,—
"June 1, 2006",2Web Technologies,Google Spreadsheet,Online spreadsheets,United States,—
"August 15, 2006",Neven Vision Germany,"Picasa, Google Goggles",Computer vision,Germany,—
"October 9, 2006",YouTube,YouTube,Video sharing,United States,"$1,650,000,000"
"October 31, 2006",JotSpot,Google Sites,Web application,United States,—
"December 18, 2006",Endoxon,Google Maps,Mapping,Switzerland,"$28,000,000"
"February 16, 2007",Adscape,AdSense,In-game advertising,United States,"$23,000,000"
"March 16, 2007",Trendalyzer,Google Analytics,Statistical software,Sweden,—
"May 28, 2007",Crusix,YouTube,Social networking service,United States,—
"April 17, 2007",Tonic Systems,Google Docs,Presentation program,United States,—
"April 19, 2007",Marratech,"Google Talk, Google Hangouts",Videoconferencing,Sweden,"$15,000,000"
"April 13, 2007",DoubleClick,AdSense,Online advertising,United States,"$3,100,000,000"
"May 11, 2007",GreenBorder,Google Chrome,Computer security,United States,—
"June 1, 2007",Panoramio,Panoramio,Photo sharing,Spain,—
"June 3, 2007",FeedBurner,FeedBurner,Web feed,United States,"$100,000,000"
"June 5, 2007",PeakStream,Android,Parallel processing,United States,—
"June 19, 2007",Zenter,Google Docs,Presentation program,United States,—
"July 2, 2007",GrandCentral,Google Voice,Voice over IP,United States,"$45,000,000"
"July 20, 2007",ImageAmerica,Google Maps,Aerial photography,United States,—
"July 9, 2007",Postini,Gmail,Communications security,United States,"$625,000,000"
"September 27, 2007",Zingku,Google Mobile,Social networking service,United States,—
"October 9, 2007",Jaiku,Google Mobile,Microblogging,Finland,—
